obs_type,chem,model_pa_1,model_pa_2,model_all_1,model_all_2
impact_mean,Barium,2.154259648,1.605030302,0.978605839,1.023093038
impact_median,Barium,0.86134393,0.629399578,0.140546162,0.067213697
concentration_mean,Barium,39.65546,39.65546,59.37417,59.37417
concentration_median,Barium,36,36,47,47
well_n_mean,Barium,106.4913,106.4913,74.91,74.91
well_n_median,Barium,46,46,13,13
impact_mean,Bromide,11.13592975,2.858438966,5.67965082,3.245271338
impact_median,Bromide,0.678259645,0.172937329,0,0
concentration_mean,Bromide,134.3107,134.3107,97.38432,97.38432
concentration_median,Bromide,19.918,19.918,0,0
well_n_mean,Bromide,112.0014,112.0014,166.6052,166.6052
well_n_median,Bromide,46,46,46,46
impact_mean,Chloride,1098.862479,1322.439285,2152.798957,2232.554579
impact_median,Chloride,192.6328211,229.5534818,126.178065,130.8526353
concentration_mean,Chloride,19772.05,19772.05,47522.55,47522.55
concentration_median,Chloride,10200,10200,14600,14600
well_n_mean,Chloride,94.16977,94.16977,83.86731,83.86731
well_n_median,Chloride,32,32,16,16
impact_mean,Strontium,5.31285544,5.186332948,10.10925694,8.876198807
impact_median,Strontium,1.140119408,1.112968143,1.267453474,0.950542574
concentration_mean,Strontium,121.52,121.52,330.1653,330.1653
concentration_median,Strontium,59,59,143,143
well_n_mean,Strontium,104.0734,104.0734,74.66463,74.66463
well_n_median,Strontium,46,46,22,22
